variant,env_id,episodes,average_reward,success_rate,invalid_move_rate,average_turns
no_textgrad,Bandit-v0,2,0.11930896709291877,0.0,0.0,21.0
no_textgrad,Blackjack-v0,2,0.5,0.0,0.0,5.0
no_textgrad,ConnectFour-v0,4,0.0,0.5,0.0,19.0
no_textgrad,FrozenLake-v0,2,0.5,0.0,0.5,4.0
no_textgrad,GuessTheNumber-v0,2,1.0,1.0,0.0,6.5
no_textgrad,LightsOut-v0,2,-0.06666666666666668,0.0,0.0,20.0
no_textgrad,Mastermind-v0,2,0.625,0.0,1.0,5.0
no_textgrad,Nim-v0,4,0.0,0.5,0.0,12.0
no_textgrad,ReverseTicTacToe-v0,4,0.0,0.0,0.0,9.0
no_textgrad,TowerOfHanoi-v0,2,0.0,0.0,0.0,15.0
textgrad_rl,Bandit-v0,2,0.11930896709291877,0.0,0.0,21.0
textgrad_rl,Blackjack-v0,2,0.2,0.0,0.0,7.0
textgrad_rl,ConnectFour-v0,4,0.0,0.5,0.0,21.0
textgrad_rl,FrozenLake-v0,2,1.0,1.0,0.0,6.0
textgrad_rl,GuessTheNumber-v0,2,1.0,1.0,0.0,6.5
textgrad_rl,LightsOut-v0,2,1.0,1.0,0.0,7.5
textgrad_rl,Mastermind-v0,2,1.0,1.0,0.0,3.5
textgrad_rl,Nim-v0,4,1.0,1.0,0.0,11.5
textgrad_rl,ReverseTicTacToe-v0,4,0.0,0.0,0.0,9.0
textgrad_rl,TowerOfHanoi-v0,2,1.0,1.0,0.0,7.0
