accepted,average_reward,average_score,average_turns,episodes,invalid_move_rate,method,split,success_rate,suite,truncation_rate
False,0.24266666666666667,0.1416666666666667,6.2,25,0.28,textgrad_rl_no_gate_slm,train,0.24,real_slm,0.2
True,0.3119649122807018,0.22316491228070176,5.76,25,0.28,textgrad_rl_no_gate_slm,train_candidate,0.24,real_slm,0.16
False,0.3813333333333333,0.3507333333333333,6.12,25,0.24,textgrad_rl_no_gate_slm,val_old,0.32,real_slm,0.16
True,0.2738070175438596,0.12340701754385965,6.08,25,0.36,textgrad_rl_no_gate_slm,val_candidate,0.2,real_slm,0.16
True,0.0272280701754386,-0.2843719298245614,6.32,25,0.44,textgrad_rl_no_gate_slm,test,0.0,real_slm,0.24
False,0.4601228070175438,0.38072280701754385,5.88,25,0.32,textgrad_rl_train_val_slm,train,0.28,real_slm,0.12
False,0.319859649122807,0.15945964912280705,6.08,25,0.36,textgrad_rl_train_val_slm,train_candidate,0.2,real_slm,0.2
False,0.49921052631578944,0.4670105263157895,6.44,25,0.24,textgrad_rl_train_val_slm,val_old,0.32,real_slm,0.16
False,0.3705263157894737,0.2671263157894737,6.68,25,0.24,textgrad_rl_train_val_slm,val_candidate,0.2,real_slm,0.2
False,0.41333333333333333,0.41153333333333336,6.36,25,0.16,textgrad_rl_train_val_slm,test,0.32,real_slm,0.2
False,0.21382456140350878,0.07162456140350879,6.44,25,0.28,textgrad_rl_kl_gate_slm,train,0.16,real_slm,0.2
False,0.27066666666666667,0.22066666666666668,6.0,25,0.24,textgrad_rl_kl_gate_slm,train_candidate,0.28,real_slm,0.16
False,0.40399999999999997,0.39399999999999996,6.0,25,0.2,textgrad_rl_kl_gate_slm,val_old,0.32,real_slm,0.16
False,0.20275438596491227,0.005354385964912289,5.48,25,0.4,textgrad_rl_kl_gate_slm,val_candidate,0.12,real_slm,0.12
False,0.37333333333333335,0.34193333333333337,6.28,25,0.16,textgrad_rl_kl_gate_slm,test,0.28,real_slm,0.24
False,0.16547368421052633,0.043873684210526315,6.32,25,0.24,textgrad_rl_clipped_surrogate_slm,train,0.16,real_slm,0.2
False,0.39073684210526316,0.3213368421052632,5.88,25,0.2,textgrad_rl_clipped_surrogate_slm,train_candidate,0.24,real_slm,0.24
False,0.3161052631578947,0.20450526315789475,6.32,25,0.28,textgrad_rl_clipped_surrogate_slm,val_old,0.2,real_slm,0.16
False,0.26305263157894737,0.09805263157894738,5.0,25,0.44,textgrad_rl_clipped_surrogate_slm,val_candidate,0.2,real_slm,0.08
False,0.3051754385964912,0.17397543859649123,6.24,25,0.32,textgrad_rl_clipped_surrogate_slm,test,0.2,real_slm,0.16
False,0.22047368421052632,0.10887368421052633,6.32,25,0.28,textgrad_rl_ppo_slm,train,0.2,real_slm,0.16
False,0.3726315789473684,0.2820315789473684,6.12,25,0.24,textgrad_rl_ppo_slm,train_candidate,0.24,real_slm,0.24
False,0.25354385964912285,0.11034385964912281,6.64,25,0.32,textgrad_rl_ppo_slm,val_old,0.2,real_slm,0.2
False,0.2795438596491228,0.020143859649122815,5.88,25,0.52,textgrad_rl_ppo_slm,val_candidate,0.12,real_slm,0.12
False,0.19438596491228072,0.0607859649122807,6.72,25,0.24,textgrad_rl_ppo_slm,test,0.16,real_slm,0.24
