accepted,average_reward,average_score,average_turns,episodes,invalid_move_rate,method,split,success_rate,suite,truncation_rate
False,0.14642857142857144,-0.3735714285714286,4.0,4,1.0,fixed_prompt_slm,test,0.0,puzzle,0.0
False,0.05,-0.46375,2.75,4,1.0,scalar_prompt_search_slm,train,0.0,puzzle,0.0
True,0.05,-0.465,3.0,4,1.0,scalar_prompt_search_slm,train_candidate,0.0,puzzle,0.0
False,0.17857142857142858,-0.3414285714285714,4.0,4,1.0,scalar_prompt_search_slm,val_old,0.0,puzzle,0.0
True,0.17857142857142858,-0.3414285714285714,4.0,4,1.0,scalar_prompt_search_slm,val_candidate,0.0,puzzle,0.0
True,0.14642857142857144,-0.3735714285714286,4.0,4,1.0,scalar_prompt_search_slm,test,0.0,puzzle,0.0
False,0.05,-0.465,3.0,4,1.0,modular_textgrad_slm,train,0.0,puzzle,0.0
True,0.05,-0.465,3.0,4,1.0,modular_textgrad_slm,train_candidate,0.0,puzzle,0.0
False,0.11666666666666667,-0.3983333333333334,3.0,4,1.0,modular_textgrad_slm,val_old,0.0,puzzle,0.0
True,0.11666666666666667,-0.3983333333333334,3.0,4,1.0,modular_textgrad_slm,val_candidate,0.0,puzzle,0.0
True,0.11071428571428571,-0.4067857142857143,3.5,4,1.0,modular_textgrad_slm,test,0.0,puzzle,0.0
False,0.115625,-0.400625,3.25,4,1.0,textgrad_rl_plus_slm,train,0.0,puzzle,0.0
False,0.171875,-0.345625,3.5,4,1.0,textgrad_rl_plus_slm,train_candidate,0.0,puzzle,0.0
False,0.07500000000000001,-0.44,3.0,4,1.0,textgrad_rl_plus_slm,val_old,0.0,puzzle,0.0
False,0.07500000000000001,-0.4425,3.5,4,1.0,textgrad_rl_plus_slm,val_candidate,0.0,puzzle,0.0
False,0.14642857142857144,-0.3735714285714286,4.0,4,1.0,textgrad_rl_plus_slm,test,0.0,puzzle,0.0
False,0.06666666666666667,-0.44833333333333336,3.0,4,1.0,textgrad_policy_iteration_slm,train,0.0,puzzle,0.0
True,0.06666666666666667,-0.44833333333333336,3.0,4,1.0,textgrad_policy_iteration_slm,train_candidate,0.0,puzzle,0.0
False,0.040625,-0.478125,3.75,4,1.0,textgrad_policy_iteration_slm,val_old,0.0,puzzle,0.0
True,0.2625,-0.2575,4.0,4,1.0,textgrad_policy_iteration_slm,val_candidate,0.0,puzzle,0.0
True,0.11071428571428571,-0.4067857142857143,3.5,4,1.0,textgrad_policy_iteration_slm,test,0.0,puzzle,0.0
