average_reward,average_score,average_turns,env_id,episodes,invalid_move_rate,method,success_rate,suite,truncation_rate
0.1,-0.42000000000000004,4.0,Wordle-v0,1,1.0,fixed_prompt_slm,0.0,puzzle,0.0
0.2,-0.315,3.0,Hangman-v0,1,1.0,fixed_prompt_slm,0.0,puzzle,0.0
0.2857142857142857,-0.2492857142857143,7.0,Minesweeper-v0-small,1,1.0,fixed_prompt_slm,0.0,puzzle,0.0
0.0,-0.51,2.0,Sudoku-v0-very-easy,1,1.0,fixed_prompt_slm,0.0,puzzle,0.0
0.1,-0.42000000000000004,4.0,Wordle-v0,1,1.0,scalar_prompt_search_slm,0.0,puzzle,0.0
0.2,-0.315,3.0,Hangman-v0,1,1.0,scalar_prompt_search_slm,0.0,puzzle,0.0
0.2857142857142857,-0.2492857142857143,7.0,Minesweeper-v0-small,1,1.0,scalar_prompt_search_slm,0.0,puzzle,0.0
0.0,-0.51,2.0,Sudoku-v0-very-easy,1,1.0,scalar_prompt_search_slm,0.0,puzzle,0.0
0.1,-0.42000000000000004,4.0,Wordle-v0,1,1.0,modular_textgrad_slm,0.0,puzzle,0.0
0.2,-0.315,3.0,Hangman-v0,1,1.0,modular_textgrad_slm,0.0,puzzle,0.0
0.14285714285714285,-0.3821428571428572,5.0,Minesweeper-v0-small,1,1.0,modular_textgrad_slm,0.0,puzzle,0.0
0.0,-0.51,2.0,Sudoku-v0-very-easy,1,1.0,modular_textgrad_slm,0.0,puzzle,0.0
0.1,-0.42000000000000004,4.0,Wordle-v0,1,1.0,textgrad_rl_plus_slm,0.0,puzzle,0.0
0.2,-0.315,3.0,Hangman-v0,1,1.0,textgrad_rl_plus_slm,0.0,puzzle,0.0
0.2857142857142857,-0.2492857142857143,7.0,Minesweeper-v0-small,1,1.0,textgrad_rl_plus_slm,0.0,puzzle,0.0
0.0,-0.51,2.0,Sudoku-v0-very-easy,1,1.0,textgrad_rl_plus_slm,0.0,puzzle,0.0
0.1,-0.42000000000000004,4.0,Wordle-v0,1,1.0,textgrad_policy_iteration_slm,0.0,puzzle,0.0
0.2,-0.315,3.0,Hangman-v0,1,1.0,textgrad_policy_iteration_slm,0.0,puzzle,0.0
0.14285714285714285,-0.3821428571428572,5.0,Minesweeper-v0-small,1,1.0,textgrad_policy_iteration_slm,0.0,puzzle,0.0
0.0,-0.51,2.0,Sudoku-v0-very-easy,1,1.0,textgrad_policy_iteration_slm,0.0,puzzle,0.0
