accepted,average_reward,average_score,average_turns,episodes,invalid_move_rate,method,split,success_rate,suite,truncation_rate
False,0.18,0.10400000000000001,5.2,5,0.2,fixed_prompt_slm,test,0.2,real_slm,0.2
False,0.13999999999999999,0.05900000000000001,6.2,5,0.2,scalar_prompt_search_slm,train,0.2,real_slm,0.2
True,-0.06,-0.294,6.8,5,0.2,scalar_prompt_search_slm,train_candidate,0.0,real_slm,0.4
False,0.19333333333333333,0.11233333333333335,6.2,5,0.2,scalar_prompt_search_slm,val_old,0.2,real_slm,0.2
True,0.3433333333333334,0.22133333333333333,4.4,5,0.4,scalar_prompt_search_slm,val_candidate,0.2,real_slm,0.0
True,-0.019999999999999997,-0.254,6.8,5,0.2,scalar_prompt_search_slm,test,0.0,real_slm,0.4
False,0.18,-0.0020000000000000087,6.4,5,0.4,modular_textgrad_slm,train,0.2,real_slm,0.2
False,0.32999999999999996,0.097,6.6,5,0.6,modular_textgrad_slm,train_candidate,0.2,real_slm,0.0
False,0.32999999999999996,0.10399999999999998,5.2,5,0.6,modular_textgrad_slm,val_old,0.2,real_slm,0.0
False,0.18,-0.0010000000000000078,6.2,5,0.4,modular_textgrad_slm,val_candidate,0.2,real_slm,0.2
False,0.18,0.10400000000000001,5.2,5,0.2,modular_textgrad_slm,test,0.2,real_slm,0.2
False,0.18666666666666668,0.10566666666666664,6.2,5,0.2,textgrad_rl_plus_slm,train,0.2,real_slm,0.2
False,0.09192982456140351,-0.0920701754385965,6.8,5,0.2,textgrad_rl_plus_slm,train_candidate,0.0,real_slm,0.2
False,0.1,0.021999999999999992,5.6,5,0.2,textgrad_rl_plus_slm,val_old,0.2,real_slm,0.2
False,0.25,0.124,5.2,5,0.4,textgrad_rl_plus_slm,val_candidate,0.2,real_slm,0.0
False,0.18,0.10400000000000001,5.2,5,0.2,textgrad_rl_plus_slm,test,0.2,real_slm,0.2
False,0.13999999999999999,0.06100000000000001,5.8,5,0.2,textgrad_policy_iteration_slm,train,0.2,real_slm,0.2
False,0.015000000000000003,-0.271,7.2,5,0.4,textgrad_policy_iteration_slm,train_candidate,0.0,real_slm,0.2
False,0.22000000000000003,0.04199999999999999,5.6,5,0.4,textgrad_policy_iteration_slm,val_old,0.2,real_slm,0.2
False,0.095,-0.28900000000000003,6.8,5,0.6,textgrad_policy_iteration_slm,val_candidate,0.0,real_slm,0.2
False,0.18,0.10400000000000001,5.2,5,0.2,textgrad_policy_iteration_slm,test,0.2,real_slm,0.2
