accepted_count,average_reward,average_turns,candidate_count,episodes,invalid_move_rate,method,rejected_count,repetition,split,success_rate
0,0.08888888888888889,9.666666666666666,0,9,0.0,fixed_prompt,0,0,test,0.3333333333333333
0,0.16666666666666666,9.666666666666666,0,6,0.0,scalar_prompt_search,0,0,train,0.3333333333333333
0,0.06666666666666667,9.666666666666666,1,6,0.0,scalar_prompt_search,0,0,val_old,0.3333333333333333
1,0.06666666666666667,9.666666666666666,1,6,0.0,scalar_prompt_search,0,0,val_candidate,0.3333333333333333
1,0.08888888888888889,9.666666666666666,1,9,0.0,scalar_prompt_search,0,0,test,0.3333333333333333
0,0.16666666666666666,9.666666666666666,0,6,0.0,modular_textgrad,0,0,train,0.3333333333333333
0,0.06666666666666667,9.666666666666666,1,6,0.0,modular_textgrad,0,0,val_old,0.3333333333333333
1,0.6666666666666666,11.166666666666666,1,6,0.0,modular_textgrad,0,0,val_candidate,0.6666666666666666
1,0.7111111111111111,9.88888888888889,1,9,0.0,modular_textgrad,0,0,test,0.6666666666666666
0,0.16666666666666666,9.666666666666666,0,6,0.0,textgrad_rl_plus,0,0,train,0.3333333333333333
1,0.7555555555555555,9.333333333333334,6,9,0.0,textgrad_rl_plus,5,0,test,0.6666666666666666
