ci_high,ci_low,mean,method,metric,n
1.0,-1.0,0.3333333333333333,fixed_prompt,reward,3
1.0,0.0,0.6666666666666666,fixed_prompt,success,3
0.0,0.0,0.0,fixed_prompt,invalid_move,3
12.0,8.0,10.666666666666666,fixed_prompt,turns,3
1.0,1.0,1.0,modular_textgrad,reward,3
1.0,1.0,1.0,modular_textgrad,success,3
0.0,0.0,0.0,modular_textgrad,invalid_move,3
12.0,8.0,10.333333333333334,modular_textgrad,turns,3
1.0,1.0,1.0,textgrad_policy_iteration,reward,3
1.0,1.0,1.0,textgrad_policy_iteration,success,3
0.0,0.0,0.0,textgrad_policy_iteration,invalid_move,3
12.0,8.0,10.333333333333334,textgrad_policy_iteration,turns,3
1.0,1.0,1.0,textgrad_ppo,reward,3
1.0,1.0,1.0,textgrad_ppo,success,3
0.0,0.0,0.0,textgrad_ppo,invalid_move,3
12.0,8.0,10.333333333333334,textgrad_ppo,turns,3
1.0,1.0,1.0,textgrad_rl_plus,reward,3
1.0,1.0,1.0,textgrad_rl_plus,success,3
0.0,0.0,0.0,textgrad_rl_plus,invalid_move,3
12.0,8.0,10.333333333333334,textgrad_rl_plus,turns,3
