average_reward,average_turns,env_id,episodes,invalid_move_rate,method,success_rate
1.0,8.0,GuessTheNumber-v0,1,0.0,fixed_prompt,1.0
0.0,12.0,Nim-v0,2,0.0,fixed_prompt,0.5
1.0,8.0,GuessTheNumber-v0,1,0.0,modular_textgrad,1.0
1.0,11.5,Nim-v0,2,0.0,modular_textgrad,1.0
1.0,8.0,GuessTheNumber-v0,1,0.0,textgrad_policy_iteration,1.0
1.0,11.5,Nim-v0,2,0.0,textgrad_policy_iteration,1.0
1.0,8.0,GuessTheNumber-v0,1,0.0,textgrad_ppo,1.0
1.0,11.5,Nim-v0,2,0.0,textgrad_ppo,1.0
1.0,8.0,GuessTheNumber-v0,1,0.0,textgrad_rl_plus,1.0
1.0,11.5,Nim-v0,2,0.0,textgrad_rl_plus,1.0
